[1203/121029.854:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/135655.415:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/170413.079:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/202337.461:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1208/195618.149:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0318/104622.400:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0324/195356.599:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir24124_9054\Crashpad: The system cannot find the file specified. (0x2)
[0324/113629.228:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir19508_10965\Crashpad: The system cannot find the file specified. (0x2)
[0324/113906.935:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir19152_6484\Crashpad: The system cannot find the file specified. (0x2)
[0324/114122.202:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir18684_30704\Crashpad: The system cannot find the file specified. (0x2)
[0324/114342.978:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir19152_3489\Crashpad: The system cannot find the file specified. (0x2)
[0324/114713.831:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15904_31259\Crashpad: The system cannot find the file specified. (0x2)
[0325/115229.779:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15424_19810\Crashpad: The system cannot find the file specified. (0x2)
[0325/115556.706:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir25048_20753\Crashpad: The system cannot find the file specified. (0x2)
[0325/120241.239:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15764_32508\Crashpad: The system cannot find the file specified. (0x2)
[0325/120605.657:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir22628_4959\Crashpad: The system cannot find the file specified. (0x2)
[0325/120911.083:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir24516_3869\Crashpad: The system cannot find the file specified. (0x2)
[0325/121501.406:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15080_1402\Crashpad: The system cannot find the file specified. (0x2)
[0325/121823.947:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir26356_12805\Crashpad: The system cannot find the file specified. (0x2)
[0325/121919.348:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir13812_24726\Crashpad: The system cannot find the file specified. (0x2)
[0325/122209.537:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir23744_12251\Crashpad: The system cannot find the file specified. (0x2)
[0325/122311.851:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir25556_7586\Crashpad: The system cannot find the file specified. (0x2)
[0325/122406.778:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir12980_29868\Crashpad: The system cannot find the file specified. (0x2)
